1,-11.04987562112089
2,-14.099504938362077
3,-19.14889156509222
4,-26.19803902718557
5,-35.246950765959596
6,-46.295630140987
7,-59.3440804327886
8,-74.39230484541326
9,-91.44030650891055
10,-110.48808848170151
11,-131.53565375285274
12,-154.58300524425837
13,-179.63014581273464
14,-206.67707825203132
15,-235.72380529476362
16,-266.77032961426903
17,-299.816653826392
18,-334.8627804912002
19,-371.9087121146357
20,-410.9544511501033
21,-452.0
22,-495.04536101718725
23,-540.0905365064094
24,-587.13552872566
25,-636.1803398874989
26,-687.2249721603218
27,-740.2694276695846
28,-795.3137084989847
29,-852.3578166916005
30,-911.4017542509914
31,-972.4455231422596
32,-1035.489125293076
33,-1100.5325625946707
34,-1167.5758369027901
35,-1236.6189500386222
36,-1307.6619037896905
37,-1380.7046999107197
38,-1455.7473401244708
39,-1532.7898261225516
40,-1611.8321595661992
41,-1692.8743420870378
42,-1775.916375287813
43,-1860.9582607431014
44,-1948.0
45,-2037.0415945787922
46,-2128.0830459735944
47,-2221.124355652982
48,-2316.1655250605963
49,-2413.2065556157336
50,-2512.2474487139157
51,-2613.2882057274446
52,-2716.328828005938
53,-2821.369316876853
54,-2928.409673645991
55,-3037.449899597989
56,-3148.489995996797
57,-3261.5299640861417
58,-3376.5698050899764
59,-3493.6095202129186
60,-3612.6491106406734
61,-3733.6885775404494
62,-3856.7279220613577
63,-3981.767145334804
64,-4108.806248474866
65,-4237.845232578665
66,-4368.884098726725
67,-4501.92284798332
68,-4636.9614813968155
69,-4774.0
70,-4913.038404810405
71,-5054.076696830622
72,-5197.114877048604
73,-5342.1529464379655
74,-5489.190905958273
75,-5638.228756555323
76,-5789.266499161422
77,-5942.30413469565
78,-6097.341664064126
79,-6254.37908816026
80,-6413.416407864998
81,-6574.453624047073
82,-6737.490737563232
83,-6902.527749258468
84,-7069.5646599662505
85,-7238.6014705087355
86,-7409.638181696986
87,-7582.6747943311775
88,-7757.711309200802
89,-7934.747727084868
90,-8113.78404875209
91,-8294.820274961085
92,-8477.85640646055
93,-8662.892443989449
94,-8849.928388277183
95,-9038.96424004377
96,-9230.0
97,-9423.035668847619
98,-9618.07124727947
99,-9815.106735979665
100,-10014.142135623732
